time,offerType
2022-03-07 10:28:24,2
2022-03-07 10:29:05,2
2022-03-07 10:29:31,3
2022-03-07 10:30:36,3
2022-03-07 10:31:04,4
2022-03-07 10:31:37,3
2022-03-07 10:31:47,4
2022-03-07 10:31:49,1
2022-03-07 10:31:54,3
2022-03-07 10:32:30,3
2022-03-07 10:33:28,3
2022-03-07 10:33:29,3
2022-03-07 10:33:58,3
2022-03-07 10:34:13,2
2022-03-07 10:34:48,2
2022-03-07 10:35:26,3
2022-03-07 10:35:32,3
2022-03-07 10:35:49,2
2022-03-07 10:36:25,3
2022-03-07 10:36:26,3
2022-03-07 10:36:49,2
2022-03-07 10:36:56,3
2022-03-07 10:37:33,2
2022-03-07 10:37:37,2
2022-03-07 10:38:12,2
2022-03-07 10:38:49,2
2022-03-07 10:38:59,2
2022-03-07 10:40:05,3
2022-03-07 10:40:23,3
2022-03-07 10:41:23,2
2022-03-07 10:42:21,1
2022-03-07 10:43:12,2
2022-03-07 10:44:54,2
2022-03-07 10:46:14,2
2022-03-07 10:46:44,4
2022-03-07 10:47:44,2
2022-03-07 10:48:17,3
2022-03-07 10:48:32,2
2022-03-07 10:49:36,3
2022-03-07 10:50:05,3
2022-03-07 10:50:20,2
2022-03-07 10:50:42,4
2022-03-07 10:51:35,2
2022-03-07 10:53:15,2
2022-03-07 10:55:30,3
2022-03-07 10:55:35,4
2022-03-07 10:55:52,3
2022-03-07 10:56:15,2
2022-03-07 10:57:35,2
2022-03-07 10:57:53,2
2022-03-07 10:58:20,3
2022-03-07 10:58:25,0
2022-03-07 10:58:32,2
2022-03-07 10:58:36,2
2022-03-07 10:59:50,2
2022-03-07 11:00:25,2
2022-03-07 11:00:39,2
2022-03-07 11:00:58,2
2022-03-07 11:02:23,2
2022-03-07 11:03:03,2
2022-03-07 11:03:23,3
2022-03-07 11:04:10,3
2022-03-07 11:04:11,2
2022-03-07 11:05:13,2
2022-03-07 11:05:53,2
2022-03-07 11:06:17,2
2022-03-07 11:06:46,2
2022-03-07 11:07:12,2
2022-03-07 11:07:39,2
2022-03-07 11:09:13,4
2022-03-07 11:10:33,2
2022-03-07 11:10:44,2
2022-03-07 11:10:57,3
2022-03-07 11:12:09,2
2022-03-07 11:12:31,2
2022-03-07 11:12:43,0
2022-03-07 11:14:24,3
2022-03-07 11:14:47,2
2022-03-07 11:15:14,3
2022-03-07 11:15:16,0
2022-03-07 11:15:36,2
2022-03-07 11:15:46,2
2022-03-07 11:16:23,3
2022-03-07 11:17:30,2
2022-03-07 11:17:43,2
2022-03-07 11:18:08,2
2022-03-07 11:19:15,3
2022-03-07 11:19:37,3
2022-03-07 11:23:28,2
2022-03-07 11:24:01,3
2022-03-07 11:24:21,2
2022-03-07 11:24:23,3
2022-03-07 11:24:53,2
2022-03-07 11:25:31,3
